phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
1026883,http://www.mathsforyou.gr/best57/upload/1/optusnet.com/billing-update/3992881-confirm-date/index.htm,http://www.phishtank.com/phish_detail.php?phish_id=1026883,2010-07-30T07:10:19+00:00,yes,2010-07-31T13:57:41+00:00,yes,Other
1026799,http://static-70-107-249-160.ny325.east.verizon.net/image/ssl128/enctypetdfile/autoSystem/login/done.html,http://www.phishtank.com/phish_detail.php?phish_id=1026799,2010-07-29T22:36:13+00:00,yes,2010-07-30T01:11:08+00:00,yes,PayPal
1026770,http://bit.ly/buFTkS,http://www.phishtank.com/phish_detail.php?phish_id=1026770,2010-07-29T21:20:53+00:00,yes,2010-07-30T00:13:37+00:00,yes,Bradesco
1026706,http://pproxy.net/index.php?page=data&url=https%3A%2F%2Fscgi.ebay.nl%2Fws%2FeBayISAPI.dll%3FRegisterEnterInfo,http://www.phishtank.com/phish_detail.php?phish_id=1026706,2010-07-29T18:10:10+00:00,yes,2010-07-29T23:16:31+00:00,yes,PayPal
1026635,http://www.sirq.it/public/marchio/cerebellum/Fotos209282.php?id=254,http://www.phishtank.com/phish_detail.php?phish_id=1026635,2010-07-29T14:35:14+00:00,yes,2010-07-30T01:31:26+00:00,yes,Other
1026615,http://www.rgidnet.com/go/oErT9sLuPxcLcI5hSHMOVepCUpEd20G0aYsBWtMoImHuTAjMziP6gIwlYG3qkWND4uojZRLNTTYdkjknvy3AR,http://www.phishtank.com/phish_detail.php?phish_id=1026615,2010-07-29T13:52:03+00:00,yes,2010-08-01T01:18:25+00:00,yes,"HSBC Group"
1026570,http://manonlinefillinginformationlog.web.fc2.com/i/masterlogin/masterlogin/open/homepage.htm,http://www.phishtank.com/phish_detail.php?phish_id=1026570,2010-07-29T09:55:21+00:00,yes,2010-07-29T13:31:04+00:00,yes,"Bank of America Corporation"
1026446,http://www.mathsforyou.gr/best57/upload/1/optusnet.com/billing-update/3992881-confirm-date/details.htm,http://www.phishtank.com/phish_detail.php?phish_id=1026446,2010-07-29T01:08:09+00:00,yes,2010-07-29T03:30:03+00:00,yes,Other
1026389,http://www.tigersurvey.com/survey.php?survey=16762,http://www.phishtank.com/phish_detail.php?phish_id=1026389,2010-07-28T21:08:30+00:00,yes,2010-07-29T03:11:50+00:00,yes,Other
1026374,http://www.texasholdemchips.byethost4.com/bonus.php,http://www.phishtank.com/phish_detail.php?phish_id=1026374,2010-07-28T20:41:29+00:00,yes,2010-07-29T01:13:24+00:00,yes,Other
1026347,http://bit.ly/aiMzRI,http://www.phishtank.com/phish_detail.php?phish_id=1026347,2010-07-28T20:17:11+00:00,yes,2010-07-28T22:13:00+00:00,yes,Other
1026329,http://uogradekw1.vistahosting.cn/feedback/feedback.html,http://www.phishtank.com/phish_detail.php?phish_id=1026329,2010-07-28T19:55:56+00:00,yes,2010-07-29T12:06:24+00:00,yes,Other
1026318,http://t0.gstatic.com/images?q=tbn:4dxUPICudQRBSM:http://dmstk.files.wordpr,http://www.phishtank.com/phish_detail.php?phish_id=1026318,2010-07-28T19:47:35+00:00,yes,2010-07-28T21:03:47+00:00,yes,PayPal
1026229,http://bit.ly/dx0lFg,http://www.phishtank.com/phish_detail.php?phish_id=1026229,2010-07-28T17:11:05+00:00,yes,2010-07-28T18:43:50+00:00,yes,Other
1026209,http://www.shootoutchips.0fees.net/winner/free/,http://www.phishtank.com/phish_detail.php?phish_id=1026209,2010-07-28T17:00:07+00:00,yes,2010-07-28T21:11:50+00:00,yes,Other
1026197,http://www.tigersurvey.com/survey.php?survey=15565,http://www.phishtank.com/phish_detail.php?phish_id=1026197,2010-07-28T16:02:03+00:00,yes,2010-07-29T01:26:39+00:00,yes,Other
1026193,http://www.upgrades07.vistahosting.cn/feedback/feedback.html,http://www.phishtank.com/phish_detail.php?phish_id=1026193,2010-07-28T16:00:40+00:00,yes,2010-07-29T01:17:38+00:00,yes,Other
1026190,http://www.tigersurvey.com/survey.php?survey=16766,http://www.phishtank.com/phish_detail.php?phish_id=1026190,2010-07-28T15:57:26+00:00,yes,2010-07-28T22:42:50+00:00,yes,Other
1026113,http://tibiafalcon.hdfree.com.br/,http://www.phishtank.com/phish_detail.php?phish_id=1026113,2010-07-28T13:38:33+00:00,yes,2010-07-28T17:54:32+00:00,yes,Tibia
1026112,http://caiogustavo.hdfree.com.br/,http://www.phishtank.com/phish_detail.php?phish_id=1026112,2010-07-28T13:38:02+00:00,yes,2010-07-28T17:42:27+00:00,yes,Tibia
